||=== Build: Robi_Debug in piMASS (compiler: GNU GCC Compiler) ===|
include/gpccrs.h|165|warning: unused variable ‘nSUB’ [-Wunused-variable]|
include/gpccrs.h||In member function ‘void gpcCRS::frmDRWtx(SDL_Rect, SDL_Rect, I4x2, SDL_Renderer*, SDL_Texture*, U1, U4, const U1*)’:|
include/gpccrs.h|289|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
include/gpccrs.h||In member function ‘void gpcCRS::frmDRW(SDL_Rect, SDL_Rect, I4x2, SDL_Surface*, SDL_Surface*, U1, U4, const U1*)’:|
include/gpccrs.h|437|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
./gpcres.h||In member function ‘gpcREG& gpcREG::off()’:|
./piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./gpcres.h|214|note: in expansion of macro ‘gpmCLR’|
include/gpcwin.h||In member function ‘bool gpcWIN::bINI_hst_usr()’:|
include/gpcwin.h|672|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./piMASS.h|172|warning: "NULL" redefined|
/usr/lib/gcc/arm-linux-gnueabihf/6/include/stddef.h|403|note: this is the location of the previous definition|
include/gpeALF.h|1173|warning: unknown escape sequence: '\`'|
/home/pi/Desktop/piMASS/piMASS.h|172|warning: "NULL" redefined|
/usr/lib/gcc/arm-linux-gnueabihf/6/include/stddef.h|403|note: this is the location of the previous definition|
./piMASS.h|172|warning: "NULL" redefined|
/usr/lib/gcc/arm-linux-gnueabihf/6/include/stddef.h|403|note: this is the location of the previous definition|
include/gpeALF.h|1173|warning: unknown escape sequence: '\`'|
include/gpeALF.h|1173|warning: unknown escape sequence: '\`'|
/home/pi/Desktop/piMASS/gpMASSbuild.cpp|874|warning: "/*" within comment [-Wcomment]|
/home/pi/Desktop/piMASS/piMASS.h||In function ‘bool gpfMKDR(char*, const char*)’:|
/home/pi/Desktop/piMASS/piMASS.h|465|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
/home/pi/Desktop/piMASS/piMASS.h|463|warning: unused variable ‘p_end’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U1x4& U1x4::typMX(U1x4)’:|
/home/pi/Desktop/piMASS/piMASS.h|862|warning: suggest parentheses around comparison in operand of ‘&’ [-Wparentheses]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U2x4& U2x4::operator=(U2)’:|
/home/pi/Desktop/piMASS/piMASS.h|1261|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U2x4& U2x4::operator=(I2)’:|
/home/pi/Desktop/piMASS/piMASS.h|1265|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U4x4& U4x4::operator=(U4)’:|
/home/pi/Desktop/piMASS/piMASS.h|1735|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U4x4& U4x4::operator=(I4)’:|
/home/pi/Desktop/piMASS/piMASS.h|1739|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘I4x4* I4x4::index(U4)’:|
/home/pi/Desktop/piMASS/piMASS.h|2825|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzy_exp(U8&, U8, U8, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4638|warning: suggest explicit braces to avoid ambiguous ‘else’ [-Wparentheses]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyWR(const char*, bool)’:|
/home/pi/Desktop/piMASS/piMASS.h|4804|warning: label ‘szasz’ defined but not used [-Wunused-label]|
/home/pi/Desktop/piMASS/gpcpic.h||In member function ‘U1x4* gpcPIC::u1x4LOCK(SDL_Renderer*, U4x2, int&)’:|
/home/pi/Desktop/piMASS/gpcpic.h|164|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/gpcpic.h|164|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/gpcgt.h|417|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
/home/pi/Desktop/piMASS/gpcgt.h|418|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
/home/pi/Desktop/piMASS/gpcgt.h|420|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
/home/pi/Desktop/piMASS/gpcgt.h|426|warning: ‘packed’ attribute ignored for field of type ‘U1 [3] {aka unsigned char [3]}’ [-Wattributes]|
/home/pi/Desktop/piMASS/gpcgt.h|427|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
/home/pi/Desktop/piMASS/gpcgt.h||In member function ‘void gpcFD::zero(U4)’:|
/home/pi/Desktop/piMASS/gpcgt.h|580|warning: unused variable ‘p_Z’ [-Wunused-variable]|
./gpcres.h||In member function ‘gpcISA* gpcISA::null()’:|
/home/pi/Desktop/piMASS/piMASS.h|286|warning: possible problem detected in invocation of delete operator: [-Wdelete-incomplete]|
./gpcres.h|60|note: in expansion of macro ‘gpmDEL’|
./gpcres.h|60|warning: invalid use of incomplete type ‘class gpcRES’|
/home/pi/Desktop/piMASS/piMASS.h|286|note: in definition of macro ‘gpmDEL’|
./gpcres.h|7|note: forward declaration of ‘class gpcRES’|
/home/pi/Desktop/piMASS/piMASS.h|286|note: neither the destructor nor the class-specific operator delete will be called, even if they are declared when the class is defined|
./gpcres.h|60|note: in expansion of macro ‘gpmDEL’|
./gpcres.h||In member function ‘gpcREG& gpcREG::operator=(U1*)’:|
./gpcres.h|230|warning: no return statement in function returning non-void [-Wreturn-type]|
./gpcres.h||In member function ‘gpfFLG& gpfFLG::null()’:|
./gpcres.h|643|warning: no return statement in function returning non-void [-Wreturn-type]|
./gpcres.h||In member function ‘gpcRES* gpcRES::chg(gpcALU&)’:|
/home/pi/Desktop/piMASS/piMASS.h|287|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|871|note: in expansion of macro ‘gpmDELary’|
/home/pi/Desktop/piMASS/piMASS.h|287|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|902|note: in expansion of macro ‘gpmDELary’|
./gpcres.h||In member function ‘gpcALU& gpcRES::ADD(gpeALF, U4, U4)’:|
./gpcres.h|919|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|928|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|939|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|952|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|962|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|971|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h||In member function ‘U4 gpcRES::iFND(gpeALF)’:|
./gpcres.h|995|warning: unused variable ‘x’ [-Wunused-variable]|
include/gpcOPCD.h||In member function ‘gpcOPCD& gpcOPCD::null()’:|
include/gpcOPCD.h|52|warning: no return statement in function returning non-void [-Wreturn-type]|
include/gpcOPCD.h|115|warning: ISO C++ forbids converting a string constant to ‘char*’ [-Wwrite-strings]|
include/gpcOPCD.h|115|warning: ISO C++ forbids converting a string constant to ‘char*’ [-Wwrite-strings]|
include/gpcOPCD.h||In member function ‘gpcCMPL& gpcCMPL::null()’:|
include/gpcOPCD.h|125|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/gpcSRC.h||In member function ‘void* gpcLAY::pRE(U4, U4, U4, U4)’:|
/home/pi/Desktop/piMASS/piMASS.h|287|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
/home/pi/Desktop/piMASS/gpcSRC.h|478|note: in expansion of macro ‘gpmDELary’|
/home/pi/Desktop/piMASS/gpcSRC.h||In member function ‘U8 gpcSRC::CRSminiCR(I4x2&, bool)’:|
/home/pi/Desktop/piMASS/piMASS.h|227|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/gpcSRC.h|662|note: in expansion of macro ‘min’|
/home/pi/Desktop/piMASS/gpMASSbuild.cpp||In function ‘gpeALF gpfSTR2ALF(const U1*, const U1*, U1**)’:|
/home/pi/Desktop/piMASS/gpMASSbuild.cpp|43|warning: unused variable ‘utf’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpMASSbuild.cpp||In member function ‘void gpcSRC::hd(gpcMASS&, gpeALF*)’:|
/home/pi/Desktop/piMASS/gpMASSbuild.cpp|101|warning: '0' flag ignored with precision and ‘%x’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpMASSbuild.cpp|101|warning: format ‘%x’ expects argument of type ‘unsigned int’, but argument 9 has type ‘U8 {aka long long unsigned int}’ [-Wformat=]|
/home/pi/Desktop/piMASS/gpMASSbuild.cpp|274|warning: '0' flag ignored with precision and ‘%x’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpMASSbuild.cpp|274|warning: format ‘%x’ expects argument of type ‘unsigned int’, but argument 3 has type ‘U8 {aka long long unsigned int}’ [-Wformat=]|
/home/pi/Desktop/piMASS/gpMASSbuild.cpp|281|warning: '0' flag ignored with precision and ‘%x’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpMASSbuild.cpp|281|warning: format ‘%x’ expects argument of type ‘unsigned int’, but argument 3 has type ‘U8 {aka long long unsigned int}’ [-Wformat=]|
/home/pi/Desktop/piMASS/gpMASSbuild.cpp|90|warning: unused variable ‘pSS’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpMASSbuild.cpp|91|warning: unused variable ‘oSW’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/piMASS.h||In constructor ‘gpcLZY::gpcLZY()’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h|4396|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/piMASS.h||In constructor ‘gpcLZY::gpcLZY(U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h|4400|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyADD(const void*, U8, U8&, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4468|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcSRC.h||In constructor ‘gpcCLASS::gpcCLASS(I8)’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcSRC.h|998|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/gpcSRC.h||In member function ‘gpcLZY* gpcCLASS::p_fnd(I8, I8&)’:|
/home/pi/Desktop/piMASS/gpcSRC.h|1045|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcSRC.h||In member function ‘gpcCLASS* gpcCLASS::add(I8, I8&, I8&)’:|
/home/pi/Desktop/piMASS/gpcSRC.h|1078|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcSRC.h|1075|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpMASSbuild.cpp||In member function ‘void gpcSRC::hd(gpcMASS&, gpeALF*)’:|
/home/pi/Desktop/piMASS/gpMASSbuild.cpp|77|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./piMASS.h||In function ‘bool gpfMKDR(char*, const char*)’:|
./piMASS.h|465|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
./piMASS.h|463|warning: unused variable ‘p_end’ [-Wunused-variable]|
./piMASS.h||In member function ‘U1x4& U1x4::typMX(U1x4)’:|
./piMASS.h|862|warning: suggest parentheses around comparison in operand of ‘&’ [-Wparentheses]|
./piMASS.h||In member function ‘U2x4& U2x4::operator=(U2)’:|
./piMASS.h|1261|warning: no return statement in function returning non-void [-Wreturn-type]|
./piMASS.h||In member function ‘U2x4& U2x4::operator=(I2)’:|
./piMASS.h|1265|warning: no return statement in function returning non-void [-Wreturn-type]|
./piMASS.h||In member function ‘U4x4& U4x4::operator=(U4)’:|
./piMASS.h|1735|warning: no return statement in function returning non-void [-Wreturn-type]|
./piMASS.h||In member function ‘U4x4& U4x4::operator=(I4)’:|
./piMASS.h|1739|warning: no return statement in function returning non-void [-Wreturn-type]|
./piMASS.h||In member function ‘I4x4* I4x4::index(U4)’:|
./piMASS.h|2825|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
./piMASS.h||In member function ‘gpcLZY* gpcLZY::lzy_exp(U8&, U8, U8, U1)’:|
./piMASS.h|4638|warning: suggest explicit braces to avoid ambiguous ‘else’ [-Wparentheses]|
./piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyWR(const char*, bool)’:|
./piMASS.h|4804|warning: label ‘szasz’ defined but not used [-Wunused-label]|
./gpcpic.h||In member function ‘U1x4* gpcPIC::u1x4LOCK(SDL_Renderer*, U4x2, int&)’:|
./gpcpic.h|164|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
./gpcpic.h|164|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
./gpcgt.h|417|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
./gpcgt.h|418|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
./gpcgt.h|420|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
./gpcgt.h|426|warning: ‘packed’ attribute ignored for field of type ‘U1 [3] {aka unsigned char [3]}’ [-Wattributes]|
/home/pi/Desktop/piMASS/piMASS.h|172|warning: "NULL" redefined|
/usr/lib/gcc/arm-linux-gnueabihf/6/include/stddef.h|403|note: this is the location of the previous definition|
include/gpeALF.h|1173|warning: unknown escape sequence: '\`'|
/home/pi/Desktop/piMASS/piMASS.h||In function ‘bool gpfMKDR(char*, const char*)’:|
/home/pi/Desktop/piMASS/piMASS.h|465|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
/home/pi/Desktop/piMASS/piMASS.h|463|warning: unused variable ‘p_end’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U1x4& U1x4::typMX(U1x4)’:|
/home/pi/Desktop/piMASS/piMASS.h|862|warning: suggest parentheses around comparison in operand of ‘&’ [-Wparentheses]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U2x4& U2x4::operator=(U2)’:|
/home/pi/Desktop/piMASS/piMASS.h|1261|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U2x4& U2x4::operator=(I2)’:|
/home/pi/Desktop/piMASS/piMASS.h|1265|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U4x4& U4x4::operator=(U4)’:|
/home/pi/Desktop/piMASS/piMASS.h|1735|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U4x4& U4x4::operator=(I4)’:|
/home/pi/Desktop/piMASS/piMASS.h|1739|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘I4x4* I4x4::index(U4)’:|
/home/pi/Desktop/piMASS/piMASS.h|2825|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzy_exp(U8&, U8, U8, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4638|warning: suggest explicit braces to avoid ambiguous ‘else’ [-Wparentheses]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyWR(const char*, bool)’:|
/home/pi/Desktop/piMASS/piMASS.h|4804|warning: label ‘szasz’ defined but not used [-Wunused-label]|
/home/pi/Desktop/piMASS/gpcpic.h||In member function ‘U1x4* gpcPIC::u1x4LOCK(SDL_Renderer*, U4x2, int&)’:|
/home/pi/Desktop/piMASS/gpcpic.h|164|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/gpcpic.h|164|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/gpcgt.h|417|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
/home/pi/Desktop/piMASS/gpcgt.h|418|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
/home/pi/Desktop/piMASS/gpcgt.h|420|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
/home/pi/Desktop/piMASS/gpcgt.h|426|warning: ‘packed’ attribute ignored for field of type ‘U1 [3] {aka unsigned char [3]}’ [-Wattributes]|
/home/pi/Desktop/piMASS/gpcgt.h|427|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
/home/pi/Desktop/piMASS/gpcgt.h||In member function ‘void gpcFD::zero(U4)’:|
/home/pi/Desktop/piMASS/gpcgt.h|580|warning: unused variable ‘p_Z’ [-Wunused-variable]|
./gpcres.h||In member function ‘gpcISA* gpcISA::null()’:|
/home/pi/Desktop/piMASS/piMASS.h|286|warning: possible problem detected in invocation of delete operator: [-Wdelete-incomplete]|
./gpcres.h|60|note: in expansion of macro ‘gpmDEL’|
./gpcres.h|60|warning: invalid use of incomplete type ‘class gpcRES’|
/home/pi/Desktop/piMASS/piMASS.h|286|note: in definition of macro ‘gpmDEL’|
./gpcres.h|7|note: forward declaration of ‘class gpcRES’|
/home/pi/Desktop/piMASS/piMASS.h|286|note: neither the destructor nor the class-specific operator delete will be called, even if they are declared when the class is defined|
./gpcres.h|60|note: in expansion of macro ‘gpmDEL’|
./gpcres.h||In member function ‘gpcREG& gpcREG::operator=(U1*)’:|
./gpcres.h|230|warning: no return statement in function returning non-void [-Wreturn-type]|
./gpcres.h||In member function ‘gpfFLG& gpfFLG::null()’:|
./gpcres.h|643|warning: no return statement in function returning non-void [-Wreturn-type]|
./gpcres.h||In member function ‘gpcRES* gpcRES::chg(gpcALU&)’:|
/home/pi/Desktop/piMASS/piMASS.h|287|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|871|note: in expansion of macro ‘gpmDELary’|
/home/pi/Desktop/piMASS/piMASS.h|287|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|902|note: in expansion of macro ‘gpmDELary’|
./gpcres.h||In member function ‘gpcALU& gpcRES::ADD(gpeALF, U4, U4)’:|
./gpcres.h|919|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|928|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|939|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|952|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|962|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|971|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h||In member function ‘U4 gpcRES::iFND(gpeALF)’:|
./gpcres.h|995|warning: unused variable ‘x’ [-Wunused-variable]|
include/gpcOPCD.h||In member function ‘gpcOPCD& gpcOPCD::null()’:|
include/gpcOPCD.h|52|warning: no return statement in function returning non-void [-Wreturn-type]|
include/gpcOPCD.h|115|warning: ISO C++ forbids converting a string constant to ‘char*’ [-Wwrite-strings]|
include/gpcOPCD.h|115|warning: ISO C++ forbids converting a string constant to ‘char*’ [-Wwrite-strings]|
include/gpcOPCD.h||In member function ‘gpcCMPL& gpcCMPL::null()’:|
include/gpcOPCD.h|125|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/gpcSRC.h||In member function ‘void* gpcLAY::pRE(U4, U4, U4, U4)’:|
/home/pi/Desktop/piMASS/piMASS.h|287|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
/home/pi/Desktop/piMASS/gpcSRC.h|478|note: in expansion of macro ‘gpmDELary’|
/home/pi/Desktop/piMASS/gpcSRC.h||In member function ‘U8 gpcSRC::CRSminiCR(I4x2&, bool)’:|
/home/pi/Desktop/piMASS/piMASS.h|227|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/gpcSRC.h|662|note: in expansion of macro ‘min’|
include/gpcwin.h||In member function ‘gpcLZY* gpcWIN::putLIST(gpcLZY*, gpeNET4, I8x4, char*)’:|
include/gpcwin.h|606|warning: format ‘%d’ expects argument of type ‘int’, but argument 3 has type ‘I8 {aka long long int}’ [-Wformat=]|
include/gpcwin.h||In member function ‘gpcLZY* gpcWIN::putMINI(gpcLZY*, gpeNET4, I8x4, char*)’:|
include/gpcwin.h|659|warning: format ‘%d’ expects argument of type ‘int’, but argument 3 has type ‘I8 {aka long long int}’ [-Wformat=]|
include/gpccrs.h||In member function ‘I4* gpcCRS::ZNpos(const I4x2&, I4*, I4*)’:|
include/gpccrs.h|49|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
include/gpccrs.h|49|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
include/gpccrs.h|65|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
include/gpccrs.h|71|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
include/gpccrs.h||In member function ‘void gpcCRS::CRSins(gpcMASS&, U1*, U1*)’:|
include/gpccrs.h|149|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
include/gpccrs.h|156|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
include/gpccrs.h|165|warning: unused variable ‘nSUB’ [-Wunused-variable]|
include/gpccrs.h||In member function ‘void gpcCRS::frmDRWtx(SDL_Rect, SDL_Rect, I4x2, SDL_Renderer*, SDL_Texture*, U1, U4, const U1*)’:|
include/gpccrs.h|289|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
include/gpccrs.h||In member function ‘void gpcCRS::frmDRW(SDL_Rect, SDL_Rect, I4x2, SDL_Surface*, SDL_Surface*, U1, U4, const U1*)’:|
include/gpccrs.h|437|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/piMASS_main.cpp||In member function ‘bool gpcMASS::HTMLsave(U1*, U1*, U1*, bool)’:|
/home/pi/Desktop/piMASS/piMASS_main.cpp|243|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/piMASS_main.cpp|254|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/piMASS_main.cpp|312|warning: '0' flag ignored with precision and ‘%x’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/piMASS_main.cpp|181|warning: unused variable ‘nINS’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/piMASS_main.cpp||In member function ‘bool gpcMASS::SRCsave(U1*, U1*)’:|
/home/pi/Desktop/piMASS/piMASS_main.cpp|364|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/piMASS_main.cpp|392|warning: '0' flag ignored with precision and ‘%x’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/piMASS_main.cpp|396|warning: '0' flag ignored with precision and ‘%x’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/piMASS_main.cpp|331|warning: unused variable ‘nINS’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/piMASS_main.cpp|378|warning: variable ‘iGD’ set but not used [-Wunused-but-set-variable]|
/home/pi/Desktop/piMASS/piMASS_main.cpp||In member function ‘gpcMASS& gpcMASS::operator=(const gpcMASS&)’:|
/home/pi/Desktop/piMASS/piMASS_main.cpp|426|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS_main.cpp||In constructor ‘gpcMASS::gpcMASS(const U1*, U8)’:|
/home/pi/Desktop/piMASS/piMASS_main.cpp|440|warning: unused variable ‘is’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/piMASS_main.cpp|440|warning: unused variable ‘id’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/piMASS_main.cpp||In function ‘int main(int, char**)’:|
/home/pi/Desktop/piMASS/piMASS_main.cpp|631|warning: unused variable ‘pHOME’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/piMASS_main.cpp|608|warning: unused variable ‘alfFFFFffff’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U4x4& U4x4::null()’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h|1714|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/piMASS.h||In constructor ‘gpcLZY::gpcLZY()’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h|4396|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/piMASS.h||In constructor ‘gpcLZY::gpcLZY(U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h|4400|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyADD(const void*, U8, U8&, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4468|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzy_exp(U8&, U8, U8, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4595|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyINS(const U1*, U8, U8&, U8, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4682|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyRD(char*, U8&, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4710|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyWR(const char*, bool)’:|
/home/pi/Desktop/piMASS/piMASS.h|4760|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.h||In member function ‘gpcDrc& gpcDrc::format(U4)’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.h|125|note: in expansion of macro ‘gpmCLR’|
